question_id,description
121,小明在玩一款新的消消乐游戏，游戏描述如下：给定一个n*m的矩阵作为游戏棋盘，棋盘为四连通，棋盘上共有2种字符:‘c’: 表示该点可以连通‘x’: 表示该点为障碍点游戏获得奖励有两种规则：规则一：对于棋盘中的一点，若字符为‘c’，可以选择消去该点并获得奖励p；规则二：对于棋盘上相邻的两点（即两点为上下或左右相邻），若字符都为‘c’，则可以选择消去这两点并获得奖励q。现在给定n*m大小的棋盘和两种奖励p和q，求最优方案下你能获得的最大奖励。
122,小华在玩一个迷宫游戏。他想快一点找到一条从起点到终点的路径，但是又懒得自己去做，于是就委托你帮他找一条最短的路线。
123,"我们知道，对于一个数$x(x != 1)$，用唯一分解定理可以表示为$p_1^{q1}p_2^{q2}...p_k^{qk} $（$p_i,q_i$分别表示素因子以及指数，k为该数不同素因子个数），定义该数的价值为$(q_1+1)(q_2+1)...(q_k+1)$，也就是该数的价值=该数的因子个数。现在给定一个整数n，求1到n的所有整数的价值之和（定义1的价值为1）。由于结果很大，请对结果%(1e9+7)后作为最终答案输出。"
124,"在数学上，斐波那契数列的定义为：$F(1)=1,F(2)=1,F(n)=F(n-1)+F(n-2)(n \geq 3,n∈N^*)$。那么给定一个数n，你能判断它是不是斐波那契数列中的某项吗？若是，输出“Yes”，否则输出“No”。"
125,小华去学校超市买东西，由于没带手机，所以他只能用现金付款。已知售货员需要找给他x元钱，可以用的找零有1元、2元、5元。由于钞票稀缺，所以5元只有a张，而1元只有1张，2元则有无限张，那么售货员最少需要拿出几张纸币呢？如果存在最优方案找出零钱，请输出这个数量；否则如果不存在一种方案，输出-1。
126,输入2个正整数lower和upper（lower≤upper≤100），请输出一张取值范围为[lower，upper]、且每次增加2华氏度的华氏-摄氏温度转换表。温度转换的计算公式：C=5×(F−32)/9，其中：C表示摄氏温度，F表示华氏温度。
127,计算下列分段函数f(x)的值：注：可在头文件中包含math.h，并调用sqrt函数求平方根，调用pow函数求幂。
128,输入某年某月某日，判断这几一天是这一年的第几天？
129,"给定两个数m和n，求m和n之间的素数个数（包括m,n）,试编写相应程序。"
130,本题要求编写程序，将给定n×n方阵中的每个元素循环向右移m个位置，即将第0、1、⋯、n−1列变换为第n−m、n−m+1、⋯、n−1、0、1、⋯、n−m−1列。
131,猜数字游戏是令游戏机随机产生一个100以内的正整数，用户输入一个数对其进行猜测，需要你编写程序自动对其与随机产生的被猜数进行比较，并提示大了（“Too big”），还是小了（“Too small”），相等表示猜到了。如果猜到，则结束程序。程序还要求统计猜的次数，如果1次猜出该数，提示“Bingo!”；如果3次或者3次以内猜到该数，则提示“Lucky You!”；如果超过3次但是在N（>3）次以内（包括第N次）猜到该数，则提示“Good Guess!”；如果超过N次都没有猜到，则提示“Game Over”，并结束程序。如果在到达N次之前，用户输入了一个负数，也输出“Game Over”，并结束程序。
132,给定一个n×n的方阵，本题要求计算该矩阵除副对角线、最后一列和最后一行以外的所有元素之和。副对角线为从矩阵的右上角至左下角的连线。
136,按照规定，在高速公路上行使的机动车，达到或超出本车道限速的10%则处200元罚款；若达到或超出50%，就要吊销驾驶证。请编写程序根据车速和限速自动判别对该机动车的处理
137,本题要求编写程序，打印一个高度为n的、由“*”组成的正菱形图案
141,小明同学刚刚学会了字符串，现在他想考你一道有关字符串的题目。给定一个只包含小写字母'a'-'z'的字符串S，你需要将S中的字符重新排序，使得任意两个相同的字符不连在一起。如果有多个重排后的字符串满足条件，输出字典序最小的一个。字典序小于定义：对于字符串a和b，找到第一个i使得a[i]<b[i]，且同时满足a[j]=b[j](j<i)，则a的字典序更小。如果不存在满足条件的字符串，输出‘INVALID’(不包括引号)。
142,给定n本书的名称和定价，本题要求编写程序，查找并输出其中定价最高和最低的书的名称和定价。
143,输入一个字符串，对该字符串进行逆序，输出逆序后的字符串。
144,本题要求编写程序，根据输入学生的成绩，统计并输出学生的平均成绩、最高成绩和最低成绩。建议使用动态内存分配来实现。
145,本题目要求编写程序统计一行字符中单词的个数。所谓“单词”是指连续不含空格的字符串，各单词之间用空格分隔，空格数可以是多个。
146,给定若干行只由英文字母组成的人名，可能会有重复，试输出出现次数最多人名出现的次数和出现次数最少人名出现的次数。
147,本题要求编写程序，以hh:mm:ss的格式输出某给定时间再过n秒后的时间值（超过23:59:59就从0点开始计时）。
148,给定一个n*m大小的矩阵，矩阵中每个值分别为0、1、2中的一个数。数的含义如下：0表示是一块空地；1表示炸弹，炸弹引爆时会将炸弹所在行、所在列都波及，炸弹引爆会产生连锁反应；2表示墙，会阻挡炸弹在该点及之后方向上的波及。每次引爆1个炸弹付出的代价为1，试求出使得矩阵中所有炸弹都被引爆所需要的最小代价。
149,输入一个以#结束的字符串，本题要求滤去所有的非十六进制字符（不分大小写），组成一个新的表示十六进制数字的字符串，然后将其转换为十进制数后输出。如果在第一个十六进制字符之前存在字符“-”，则代表该数是负数。
158,生物学院的同学在研究一种罕见的昆虫性行为。这些昆虫具有两种不同的性别，并且它们只与异性的虫子互动，不和同性的虫子互动。在实验中，个别虫子的错误行为能够很容易地被识别，因为它们的身体上都印有数字标号。现在，给你一组虫子的互动列表，需要请你帮助生物学院的同学判断这个实验中的虫子是否有错误行为。例如，有编号1，2，3三只虫。互动列表为：1 22 31 3很显然，该实验中的虫子有错误的互动行为。
159,新学期开学，老师需要按照身高给学生们排座位。现在需要你写一个程序，帮助老师按照身高大小，给学生们排序。
160,给定一组不同长度的木棍，是否可以将它们端到端连接成一个正方形？
161,小华和小明需要互发信息，为了防止其他人获取这些信息，他们打算确定一个加密方式。小华提出，将26个字母按照1~26编号，例如“and”加密后就是“1144”。不过，小明认为这是个极其傻的加密方式，因为他通过“1144”能够解出多个组合，比如“and”，“kdd”，“aadd”，而且随着字符串的增加，这些可能组合将会越来越多，非常不方便解码。但是，小华不相信，你能帮助小明设计一个程序来说服小华吗？该程序需要判断输入的数字串有几种可能的解码结果，然后输出结果总数。
162,给定一个长度为n的数组a[1...n]，试找出两个位置不相邻的数，它们的和最大。
163,有n个人想参加舞会，他们的身高为p[1...n]，现在舞会提出了一个奇怪的要求：必须成双参加，且参与者的身高差要至少为d。请问这场舞会最多有几对人可以参加？
164,王国内种植着一棵树，树上有n个节点，每个节点都由一位剑士把守，其中1号节点为树根。每位剑士都有一个战斗力数值。现在王国要举办n次竞技，第i次竞技在i号节点进行，属于i号子树内的所有剑士相约来到i号节点，两两进行竞技，战斗力数值更高的一方获得胜利，获胜一方将对i节点的生命值增加其战斗力数值。若两名剑士战斗力数值相同，任意一方均有50%的概率获胜。初始时n个节点的生命值都为0，现在请你输出n次竞技后所有节点的生命值。
165,浩瀚的宇宙是一个黑暗森林，而带有生命的星球就是森林中的猎手。作为面壁者，罗辑知道只需30个恒星的星图，便可以唯一确定这些星球的位置。如果这些恒星能够发射宇宙级功率，便会暴露这些恒星的位置，这是三体人所害怕的事情。现在让我们简化这个事实：假设宇宙由n个一维点组成，坐标为1~n，每个点都有点值 ​v_{i} ：如果​ v_{i} > 0，代表该点是恒星，且能量为​ v_{i} ；若 v_{i}​ = 0，代表该点是尘埃，会在宇宙中隔开恒星。坐标相邻的恒星组成了恒星群，若该恒星群中恒星的数量至少有30个，且其中最大能量恒星的能量至少是最小能量恒星的能量的100倍，则如上所述，该恒星群暴露于危险之中。给定n个点，表示宇宙，试求出暴露于危险中的恒星群的数量。
166,划拳是古老中国酒文化的一个有趣的组成部分。酒桌上两人划拳的方法为：每人口中喊出一个数字，同时用手比划出一个数字。如果谁比划出的数字正好等于两人喊出的数字之和，谁就输了，输家罚一杯酒。两人同赢或两人同输则继续下一轮，直到唯一的赢家出现。下面给出甲、乙两人的酒量（最多能喝多少杯不倒）和划拳记录，请你判断两个人谁先倒。
167,某公司员工的工资计算方法如下：一周内工作时间不超过40小时，按正常工作时间计酬；超出40小时的工作时间部分，按正常工作时间报酬的1.5倍计酬。员工按进公司时间分为新职工和老职工，进公司不少于5年的员工为老职工，5年以下的为新职工。新职工的正常工资为30元/小时，老职工的正常工资为50元/小时。请按该计酬方式计算员工的工资。
168,"题的目标很简单，就是求两个正整数A和B的和，其中A和B都在区间[1,1000]。稍微有点麻烦的是，输入并不保证是两个正整数。"
169,暑假开始了，有很多电视剧和综艺节目开播了。你有很多电视剧和节目都特别想看，但是它们的时间可能会有冲突，所以你想尽可能多看一些电视剧和节目。假设你已经知道了所有你喜欢看的电视节目的转播时间表，你会合理安排吗？（目标是能看尽量多的完整节目）
170,小华买了n个西瓜，第i个西瓜的重量为wi，并且没有两个西瓜的重量相同。小华在吃西瓜之前想把西瓜的重量从小到大排序，并且他会问你m个问题，第i个问题告诉你一个数qi，你需要回答出重量为qi的西瓜在排完序后在第几个位置，保证重量为qi的西瓜一定能找到。
171,给定一个起始长度为n的单链表head->a[1]->a[2]->…->a[n]（head为空头节点），有一个p指针初始指向head。现在有Q次操作，每次操作为以下两种中的一种：1.如果p指针有下一个节点，则跳转到下一个节点；2.在p指针节点后插入一个值为val的节点。Q次操作后请输出当前的单链表。
172,给定两个有序数组，第一个增序，第二个降序，输出两个数组合并后的增序数组。
173,"传说火星人说火星语，这个自然我们听不懂。不过听说火星人计数采用十一进制(0,1,2,3,4,5,6,7,8,9,A)，请你输出十进制数转化为十一进制后的数。"
182,布置宴席最微妙的事情，就是给前来参宴的各位宾客安排座位。无论如何，总不能把两个死对头排到同一张宴会桌旁！这个艰巨任务现在就交给你，对任何一对客人，请编写程序告诉主人他们是否能被安排同席。
183,给定n次操作，请你使用单链表来实现。初始有一个空链表，每次操作给定一个整数a[i]，如果链表中已有该数，请将该数的指针节点插到单链表的末尾，如果没有则在单链表的末尾新插入一个值为a[i]的指针节点，n次操作后请输出该单链表。
184,给出一个长度为n的数组，你需要找出一个子串（注意子串在数组中是连续的一段），并且该子串的和是最大的，最后你只需要输出这个最大的子串和即可。
188,输入4个整数，计算并输出这些整数的和与平均值，其中平均值精确到小数点后1位，试编写相应程序
189,为提倡居民节约用电，某省电力公司执行“阶梯电价”，安装一户一表的居民用户电价分为两个“阶梯”：月用电量50千瓦时（含50千瓦时）以内的，电价为0.53元/千瓦时；超过50千瓦时的，超出部分的用电量电价上调0.05元/千瓦时。输入用户的月用电量（千瓦时），计算并输出改用户应支付的电费（元）。试着编写相应程序。
190,"输入两个正整数m和n(0<m<=n),求和：   i^2+1/i   (i 从 m 到 n)，保留最后6位小数，是编写相应的程序。"
191,输入一个正整数n，计算交错序列1-2/3+3/5-4/7+5/9-6/11+……的前n项之和，试编写相应程序。
192,输入一个正整数n，计算1+\sqrt(2)+\sqrt(3)+……+\sqrt(n)的值（保留2位小数）。可能包含头文件marth.h，并调用sqrt()函数求平方根。是编写相应程序。
193,输入一个正整数n，求e=1!+2!+3!+……+n!，要求定义调用函数fact(n) 计算n!，函数类型是double。是编写想用的程序。
194,输入3个整数，按照从小到大的顺序输出。试着编写相应的程序。
195,按照规定，在高速公路上行驶的机动车，超出本车道限速的10%则处200元处罚；若超出50%，就要吊销驾驶证。请编写程序根据车速和限速自动判别对该机动车的处理。
196,本题要求实现符号函数sign(x)。函数接口定义：int sign( int x );其中x是用户传入的整型参数。符号函数的定义为：若x大于0，sign(x) = 1；若x等于0，sign(x) = 0；否则，sign(x)=−1。
197,"本题要求实现一个函数，计算N个整数中所有奇数的和，同时实现一个判断奇偶性的函数。函数接口定义：int even( int n );int OddSum( int List[], int N );其中函数even将根据用户传入的参数n的奇偶性返回相应值：当n为偶数时返回1，否则返回0。函数OddSum负责计算并返回传入的N个整数List[]中所有奇数的和。"
198,"本题要求实现一个函数，对给定平面任意两点坐标(x​1​​,y​1​​)和(x​2​​,y​2​​)，求这两点之间的距离。函数接口定义：double dist( double x1, double y1, double x2, double y2);其中用户传入的参数为平面上两个点的坐标(x1, y1)和(x2, y2)，函数dist应返回两点间的距离。"
199,"本题要求实现一个判断素数的简单函数、以及利用该函数计算给定区间内素数和的函数。素数就是只能被1和自身整除的正整数。注意：1不是素数，2是素数。函数接口定义：int prime( int p );int PrimeSum( int m, int n );其中函数prime当用户传入参数p为素数时返回1，否则返回0；函数PrimeSum返回区间[m,n]内所有素数的和。题目保证用户传入的参数m≤n。"
200,"本题要求实现一个统计整数中指定数字的个数的简单函数。函数接口定义：int CountDigit( int number, int digit );其中number是不超过长整型的整数，digit为[0, 9]区间内的整数。函数CountDigit应返回number中digit出现的次数。"
201,"水仙花数是指一个N位正整数（N≥3），它的每个位上的数字的N次幂之和等于它本身。例如：153=1^​3​​+5^​3​​+3^​3​​。 本题要求编写两个函数，一个判断给定整数是否水仙花数，另一个按从小到大的顺序打印出给定区间(m,n)内所有的水仙花数。函数接口定义：int narcissistic( int number );void PrintN( int m, int n );函数narcissistic判断number是否为水仙花数，是则返回1，否则返回0。函数PrintN则打印闭区间[m, n]内所有的水仙花数，每个数字占一行。题目保证100≤m≤n≤10000。"
202,"本题要求实现一个函数，用下列公式求cos(x)的近似值，精确到最后一项的绝对值小于e：cos(x)=x^​0​​/0!−x^​2​​/2!+x^​4​​/4!−x^​6​​/6!+⋯函数接口定义：double funcos( double e, double x );其中用户传入的参数为误差上限e和自变量x；函数funcos应返回用给定公式计算出来、并且满足误差要求的cos(x)的近似值。输入输出均在双精度范围内。"
203,某城市普通出租车收费标准如下：起步里程为3公里，起步费10元，超出起步时:  3公里以上10公里以内的部分(包含十公里)，每公里2元；超过10公里以上的部分加收50%的空驶补贴费，即每公里3元；运营过程中，因路阻及乘客要求临时停车的，每5分钟2元计收(不足五分钟则不收费）。运价计费位数四舍五入，保留到元。编写程序，输入行驶路程（公里）与等待时间（分钟），计算并输出乘客应支付费用（元）。
204,输入一个正整数n，再输入n个学生的成绩，统计五分制成绩的成绩分布。百分制成绩到五分制成绩的转换规则：大于或等于90分为A，小于90且大于或等于80分为B，小于80分且大于或等于70分为C，小于70分且大于或等于60为D，小于60分为E。试着编写相应程序。
205,"输入平面上任意三个点的坐标（x1,y1）、（x2,y2）、（x3,y3），检验它们能否构成三角形。如果这3个点能构成一个三角形。如果这3个点能够构成一个三角形，输出周长和面积（2位小数）；否则输出“Impossible”。试编写相应程序。提示：在一个三角形中，任意两边之和大于第三边。三角形面积计算公式如下：Area = sqrt(s(s-a)(s-b)(s-c))，其中s = (a+b+c)/2"
206,输入一批正整数（以零或负数为结束标志），求其中的奇数和。试编写相应程序。
207,输入一个实数x，计算并输出下式的和，直到最后一项的绝对值小于0.00001，计算结果保留四位小数。要求定义和调用函数fact(n)计算n的阶乘，可以调用pow()函数求幂。试编写相应程序。S= 1+x+x^2/2! + x^3/3! + x^4/4! +……
208,输入一个整数n，输出2/1+3/2+5/3+8/5+……的前n项之和，保留2位小数，该序列从第二项起，每一项的分子是前一项分子与分母的和，分母是前一项的分子。试编写相应的程序。
210,将一笔零钱（大于8分，小于1元，精确到分），换成5分、2分和1分的硬币，每种硬币至少有一枚。输入金额，问有几种换法，输出有多少种换法。试编写相应程序。
211,输入一个正整数n（3<=n<=7），输出所有n位水仙花数。水仙花数是指一个n位正整数，它的各位数字是n次幂之和等于它本身，输出n位所有水仙花数数量。试编写相应程序。例如：153各位数字的立方和是1^3+5^3+3^3=153。
212,"输入两个正整数m和n（m<=1000,n<=1000），求其最大公约数和最小公倍数，试编写相应程序。"
213,皮球从height（米）高度自由落下，触地后反弹到原高度的一半再落下，再反弹…… 如此反复。问皮球在n次反弹的高度是多少？输出保留2位小数，试编写相应程序。
214,输入一个正整数n（n为奇数），打印一个高度为n的“*”菱形图案。试编写相应程序。
215,一只猴子第一天摘下若干个桃子，当即吃了一半，还不过瘾，多吃了一个；第二天早上又将剩下桃子吃掉一半，又多吃了一个。以后每天早上都是了前一天剩下的一半加一个。到第n天早上想再吃时就只剩下一个桃子了。问：第一天一共摘了多少个桃子？试编写相应程序（提示：采取逆向思维的方法，从后往前判断）
216,一对兔子，从出生后第三个月起每个月都生一对兔子。小兔子长到第3个月后每个月又生一对兔子。假如兔子都不死，请问第一个月出生的一对兔子，至少需要繁衍到第几个月时兔子总数才可以达到n对？输入一个不超过10000的正整数n，输出兔子总数达到n最少需要的月数。试编写相应程序。
246,"本题要求实现一个函数，统计给定字符串中英文字母、空格或回车、数字字符和其他字符的个数。函数接口定义：void StringCount( char s[] );其中char s[]是用户传入的字符串。函数StringCount须在一行内按照英文字母个数,空格或回车个数,数字字符个数,其他字符个数的格式输出。"
247,"给定两个均不超过9的正整数a和n，要求编写函数求a+aa+aaa++⋯+aa⋯a（n个a）之和。函数接口定义：int fn( int a, int n );int SumA( int a, int n );其中函数fn须返回的是n个a组成的数字；SumA返回要求的和。"
248,本题要求实现一个函数，输出两正整数m和n（0<m≤n≤10000）之间的所有完数个数。所谓完数就是该数恰好等于除自身外的因子之和，特别的，1也算完数。例如：6=1+2+3，其中1、2、3为6的因子。如果给定区间内没有完数，则输出一行“No perfect number”。
249,"本题要求实现一个计算Fibonacci数的简单函数，并利用其实现另一个函数，输出两正整数m和n（0<m≤n≤10000）之间的所有Fibonacci数。所谓Fibonacci数列就是满足任一项数字是前两项的和（最开始两项均定义为1）的数列。函数接口定义：int fib( int n );void PrintFN( int m, int n );其中函数fib须返回第n项Fibonacci数；函数PrintFN要在一行中输出给定范围[m, n]内的所有Fibonacci数，相邻数字间有一个空格，行末不得有多余空格。如果给定区间内没有Fibonacci数，则输出一行“No Fibonacci number”。"
250,本题要求实现一个判断素数的简单函数，并利用该函数验证哥德巴赫猜想：任何一个不小于6的偶数均可表示为两个奇素数之和。最后给定两个整数m和n，按顺序输出满足条件的数，并按一定形式输出。（素数就是只能被1和自身整除的正整数。注意：1不是素数，2是素数。）函数接口定义：int prime( int p );void Goldbach( int n );其中函数prime当用户传入参数p为素数时返回1，否则返回0；函数Goldbach按照格式“n=p+q”输出n的素数分解，其中p≤q均为素数。又因为这样的分解不唯一（例如24可以分解为5+19，还可以分解为7+17），要求必须输出所有解中p最小的解。
251,本题要求实现一个求整数的逆序数的简单函数。（注意：逆序后去掉前导0）函数接口定义：int reverse( int number );其中函数reverse须返回用户传入的整型number的逆序数。
252,模拟简单运算器的工作。假设计算器只能进行加减乘除运算，运算数和结果都是整数，四种运算符的优先级相同，按从左到右的顺序计算。
253,本题目要求编写程序统计一行字符中单词的个数。所谓“单词”是指连续不含空格的字符串，各单词之间用空格分隔，空格数可以是多个。
257,给你一堆存在时间冲突的任务，需要你合理安排，尽可能多完成一些任务。假设你已经知道了所有任务的开始和结束时间，你会合理安排吗？（目标是尽可能完成更多的任务）
258,小明同学刚刚学会了字符串，现在他想考你一道有关字符串的题目。给定一个只包含小写字母'a'-'z'的字符串S，你需要将S中的字符重新排序，使得任意两个相同的字符不连在一起。如果有多个重排后的字符串满足条件，输出字典序最小的一个。字典序小于定义：对于字符串a和b，找到第一个i使得a[i]<b[i]，且同时满足a[j]=b[j](j<i)，则a的字典序更小。如果不存在满足条件的字符串，输出‘INVALID’(不包括引号)。
259,给定一个n*m大小的矩阵，矩阵中每个值分别为0、1、2中的一个数。数的含义如下：0表示是一块空地；1表示炸弹，炸弹引爆时会将炸弹所在行、所在列都波及，炸弹引爆会产生连锁反应；2表示墙，会阻挡炸弹在该点及之后方向上的波及。每次引爆1个炸弹付出的代价为1，试求出使得矩阵中所有炸弹都被引爆所需要的最小代价。
260,给定一个起始长度为n的单链表head->a[1]->a[2]->…->a[n]（head为空头节点），有一个p指针初始指向head。现在有Q次操作，每次操作为以下两种中的一种：1.如果p指针有下一个节点，则跳转到下一个节点；2.在p指针节点后插入一个值为val的节点。Q次操作后请输出当前的单链表。
261,给定一个长度为n的数组a[1...n]，试找出至少k个位置互不相邻的数（可以恰好等于k个），它们的和最大。
270,"输入一个正整数n(1<n<=10),再输入n个整数，将他们从大到小排序后输出。试编写相应程序。"
282,输入一个正整数n（1<n<=1000），再输入n个整数，分析每个整数的每一位数字，求出现次数最多的数字。例如输入n个整数，分析每个整数的每一位数字，求出现次数最多的数字。例如输入3个整数1234、2345、3456，其中出现次数最多的数字是3和4，均出现了3次。试编写相应程序。
283,"输入一个正整数n(1<=n<=6)和n阶方阵a中的元素，如果a是上三角矩阵，输出”YES”,否则输出“NO”。"
284,"输入2个正整数m和n（1<=m<=6,1<=n<=6），然后输入矩阵a（m行n列）中的元素，分别求出各行元素之和，并输出。试编写相应程序。"
285,输入1个整数n（1<=n<=6）和n阶方阵a中的元素，假设方阵a最多有1个鞍点，如果找到a的鞍点，就输出其下标，否则，输出“NO”。鞍点的元素值在该行上最大，该列上最小，试编写相应程序。
291,"本题要求实现一个拆分实数的整数与小数部分的简单函数。函数接口定义：void splitfloat( float x, int *intpart, float *fracpart);其中x是被拆分的实数（0≤x<10000），*intpart和*fracpart分别是将实数x拆分出来的整数部分与小数部分。请实现函数接口，并在主函数中调用它。"
292,"本题要求实现一个在数组中查找指定元素的简单函数。函数接口定义：int search( int list[], int n, int x );其中list[]是用户传入的数组；n（≥0）是list[]中元素的个数；x是待查找的元素。如果找到则函数search返回相应元素的最小下标（下标从0开始），否则返回−1。"
293,"本题要求实现一个对数组进行循环右移的简单函数：一个数组a中存有n（>0）个整数，将每个整数循环向右移m（≥0）个位置，即将a中的数据由（a​0​​a​1​​⋯a​n−1​​）变换为（a​n−m​​⋯a​n−1​​a​0​​a​1​​⋯a​n−m−1​​）（最后m个数循环移至最前面的m个位置）。函数接口定义：int ArrayShift( int a[], int n, int m );其中a[]是用户传入的数组；n是数组的大小；m是右移的位数。函数ArrayShift须将循环右移后的数组仍然存在a[]中。"
294,"报数游戏是这样的：有n个人围成一圈，按顺序从1到n编好号。从第一个人开始报数，报到m（<n）的人退出圈子；下一个人从1开始报数，报到m的人退出圈子。如此下去，直到留下最后一个人。本题要求编写函数，给出每个人的退出顺序编号。函数接口定义：void CountOff( int n, int m, int out[] );其中n是初始人数；m是游戏规定的退出位次（保证为小于n的正整数）。函数CountOff将每个人的退出顺序编号存在数组out[]中。因为C语言数组下标是从0开始的，所以第i个位置上的人是第out[i-1]个退出的。"
295,"本题要求编写函数，将输入字符串t中从第m个字符开始的全部字符复制到字符串s中。函数接口定义：void strmcpy( char *t, int m, char *s );函数strmcpy将输入字符串char *t中从第m个字符开始的全部字符复制到字符串char *s中。若m超过输入字符串的长度，则结果字符串应为空串。"
296,"本题要求实现一个删除字符串中的指定字符的简单函数。函数接口定义：void delchar( char *str, char c );其中char *str是传入的字符串，c是待删除的字符。函数delchar的功能是将字符串str中出现的所有c字符删除。"
297,本题要求编写程序，读入5个字符串，按由小到大的顺序输出。
298,本题要求编写函数，判断给定的一串字符是否为“回文”。所谓“回文”是指顺读和倒读都一样的字符串。如“XYZYX”和“xyzzyx”都是回文。函数接口定义：bool palindrome( char *s );函数palindrome判断输入字符串char *s是否为回文。若是则返回true，否则返回false。
299,本题要求实现一个函数，统计给定字符串中的大写字母、小写字母、空格、数字以及其它字符各有多少。函数接口定义：void StringCount( char *s );其中char *s是用户传入的字符串。函数StringCount须在一行内按照大写字母个数 小写字母个数 空格个数 数字个数 其它字符个数 (注： 换行符也算字符）的格式输出。
311,给你一个数组，数组上的每个位置都有一定数量的豆子，现在吃豆人会进行若干次操作，每次操作给定一个坐标x，吃豆人会把位于坐标x上位置的豆子都吃掉，同时位于x位置右边的位置都会向左移动一格。具体来说，x+1位置上的豆子转移到x位置，x+2位置上的豆子转移到x+1位置，以此类推。每次操作，如果吃豆人发现x位置上已经没豆子了，输出0，否则输出吃到的豆子数。
312,复读机就是可以把声音存储下来并且重复播放的一种机器。现在有一个复读机，它可以把你的输入保留信息输出。但是，这个复读机有一个毛病，它在某些时刻会重复当前的语句不止一遍，而在正常时刻只会复读一遍，现在请你输出复读后的语句。
313,假设现在你要判断数据类型是否为int、long long、double，输入n个字符串，请你判断其代表的数据类型是什么，且输入的每个字符串保证是正数，且是这三种类型的一种。
314,"给定n个可选的木棍长度，问是否能够选出3个构成三角形。注意，你需要实现一个函数ok，来判断传入的三个边长能否构成三角形。函数接口定义：int isTriangle( int x, int y, int z);传入三个边长参数x，y，z，是三角形返回1，否则0。"
315,双阶乘是一个数学概念，用n!!表示。正整数的双阶乘表示不超过这个正整数且与它有相同奇偶性的所有正整数乘积。本题要求实现双阶乘函数fac(x)。函数接口定义：long long fac( int x );其中x是用户传入的整型参数，返回双阶乘。
316,给定两个长度为n的全排列a，b（全排列即长度为n的数组，且数组中的元素各不相同），对于第一个全排列的每个数a[i]，输出其在第二个全排列b中出现的位置。
317,"歌唱比赛有n个裁判(n>=3)，每个裁判会给当前这位歌手打分为[1,10]之间的一个整数，最终这个选手的得分为：去掉一个最高分和一个最低分之后的平均分。现在已知小华同学的最终得分p，但是n个裁判给的得分中恰好有一个丢失了，即小华只知道n-1个裁判给出的得分，现在请你帮小华判断他的最终得分是否是对的（即是否存在第n个裁判给出某个分数q满足小华的最终得分为p）？"
318,矩阵的幂A^k = A * A * ... * A，其中两个矩阵A、B​的乘积会产生一个新矩阵C，且$C_{ij} = \sum_{k=1}^{m}A_{ik}*B_{kj}$​，其中矩阵A是一个n * m的数组，矩阵B的大小是一个m * t的数组。现在给定一个方阵A和一个整数k，求A^k。
327,"本题要求实现一个函数，统计给定区间内的三位数中有两位数字相同的完全平方数（如144、676）的个数。函数接口定义：int search( int n );其中传入的参数int n是一个三位数的正整数（最高位数字非0）。函数search返回[101, n]区间内所有满足条件的数的个数。"
328,本题要求实现一个计算非负整数阶乘的简单函数，并利用该函数求1!+2!+3!+...+n!的值。函数接口定义：double fact( int n );double factsum( int n );函数fact应返回n的阶乘，建议用递归实现。函数factsum应返回1!+2!+...+n!的值。题目保证输入输出在双精度范围内。
329,"本题要求实现一个计算x^​n​​（n≥1）的函数。函数接口定义：double calc_pow( double x, int n );函数calc_pow应返回x的n次幂的值。建议用递归实现。题目保证结果在双精度范围内。"
330,"本题要求实现一个函数，计算下列简单交错幂级数的部分和：f(x,n)=x−x^​2​​+x^​3​​−x^​4​​+⋯+(−1)^(n−1)*​​x^​n​​函数接口定义：double fn( double x, int n );其中题目保证传入的n是正整数，并且输入输出都在双精度范围内。函数fn应返回上述级数的部分和。建议尝试用递归实现。"
331,"本题要求实现Ackermenn函数的计算，其函数定义如下：函数接口定义：int Ack( int m, int n );其中m和n是用户传入的非负整数。函数Ack返回Ackermenn函数的相应值。题目保证输入输出都在长整型"
332,本题要求实现求Fabonacci数列项的函数。Fabonacci数列的定义如下：f(n)=f(n−2)+f(n−1) (n≥2)，其中f(0)=0，f(1)=1。函数接口定义：int f( int n );函数f应返回第n个Fabonacci数。题目保证输入输出在长整型范围内。建议用递归实现。
333,本题要求实现一个函数，将自然数n转换为二进制后输出。函数接口定义：void dectobin( int n );函数dectobin应在一行中打印出二进制的n。建议用递归实现。
334,本题要求实现一个函数，对一个整数进行按位顺序输出。函数接口定义：void printdigits( int n );函数printdigits应将n的每一位数字从高位到低位顺序打印出来，每位数字占一行。
335,输入n（n<10）个整数，统计其中素数的个数。函数接口定义：int countPrime( int n );函数countPrime应返回输入前n个数中素数个数。
336,三角形面积为其中a、b、c分别是三角形的3条边。请分别定义计算s和area的宏，再使用函数实现。比较两者在形式上和使用上的区别。
338,编写程序，利用结构变量求解两个复数之积 。
339,"输入两个二维平面向量 Vl = ( x l , y l) 和 V2 = ( x2 , y2 ) 的分量，计算并输出两个向量的和向量。试编写相应程序"
340,给定n本书的名称和定价，本题要求编写程序，查找并输出其中定价最高和最低的书的名称和定价。
341,输入n个朋友的信息，包括姓名、生日、电话号码，本题要求编写程序，按照年龄从大到小的顺序依次输出通讯录。题目保证所有人的生日均不相同。
